Album Name,Artist(s),Release Year,Total Tracks
Hanuman JI,NRB,2024,1
Hanuman Chalisa (Lo-fi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",2023,1
Shree Hanuman Chalisa (Hanuman Ashtak),Hariharan,1992,8
Sankat Mochan Hanuman-Lofi Bhajan,"Rasraj Ji Maharaj, Baljeet Singh Chahal",2023,1
Hanuman Ji Ki Aarti,Rasraj Ji Maharaj,2023,1
Bajrang Baan-Lofi,"Rasraj Ji Maharaj, Baljeet Singh Chahal",2023,1
Hanuman Bahuk-Lofi,"Baljeet Singh Chahal, Rasraj Ji Maharaj",2023,1
Hanuman Returns,"Daler Mehndi, Samantha, Tapas Relia",2007,7
Veer Hanumana (Lofi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",2024,1
Morning Hanuman Bhajans,"Hari Om Sharan, Hariharan, Lata Mangeshkar, Anuradha Paudwal",2017,10
Hanuman Bahuk,"Baljeet Singh Chahal, Rasraj Ji Maharaj",2023,1
Ram Na Milenge Hanuman Ke Bina,Lakhbir Singh Lakkha,2000,8
Hanuman Ji Ka Sarv Badha Nivarak,Prem Prakash Dubey,2020,1
"Hanuman Chalisa (From ""HanuMan"") [Hindi]","GowraHari, Saicharan Bhaskaruni",2023,1
Hanuman Ashtak Fast,Rasraj Ji Maharaj,2023,1
Hanuman Ji Ka Sutra Vinashak Mantra,Prem Prakash Dubey,2020,1
Shree Hanuman Chalisa(Jai Jai Shree Hanuman),Hari Om Sharan,1996,7
Hanuman ji,XooFa,2025,1
Namu Hanuman,"Jigardan Gadhvi, Devraj Bha Gadhvi",2023,1
Shri Hanuman Chalisha,Satish Dehra,2002,8
Hanuman Ji Ki Aarti,"Baal Kishan Bunty, Maanya Arora, Dhvani Arora",2024,1
Sankat Mochan Hanuman (Lofi),Agam Aggarwal,2022,1
Hanuman Ka Pehra-Lofi,"Rasraj Ji Maharaj, Baljeet Singh Chahal",2024,1
"Hanuman Chalisa (From ""HanuMan"") [Telugu]","GowraHari, Saicharan Bhaskaruni",2023,1
Hanuman Chalisa,Rasraj Ji Maharaj,2022,1
Rama Rama Ratte Ratte (Lofi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",2024,1
Shri Hanuman Sathika (Lofi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",2024,1
Jai Siya Ram Dhun-Lofi,"Rasraj Ji Maharaj, Baljeet Singh Chahal",2023,1
Hanuman Ji Ki Aarti 108 Brahmins,Brahmins,2024,1
Aarti Shree Hanuman Ji Ki (Hanuman Ji Ki Aarti),Arun Prajapati,2020,1
Hanuman Chetavani,"SJ, Dheeraj soni",2025,1
Hanuman Ji Aarti,Krishna Gurjar,2023,1
Hanuman (Original Motion Picture Soundtrack),Tapas Relia,2005,11
Nav Varsh Special - Best Collection Of Hanuman Ji Shanidev Ke Bhajans,"Hariharan, Anuradha Paudwal, Narendra Chanchal",2022,8
Hanuman Chalisa,"Navin Manish, Shankar Mahadevan",2022,1
Hanuman Ashtak,Raj Kumar Puri Rasraj Ji Maharaj,2022,1
HanuMan (Original Motion Picture Soundtrack) [Hindi]),"GowraHari, Anudeep Dev, Krishna Saurabh Surampalli",2023,7
Aarti Keeje Hanuman Lala Ki (Lofi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",2024,1
"Raghunandana (From ""HanuMan"") [Hindi]",Various Artists,2024,1
Hanuman Ashtak,"Rasraj Ji Maharaj, Kailash Kumar Shrivastav",2023,1
Hanuman Chalisa,"SJ, Dheeraj soni",2023,1
Aarti Hanuman Ji Ki,Pinki Verma,2024,1
Hanuman Setu,"Narci, xzeus",2023,3
Hanuman Chalisa,"Jigardan Gadhavi, Rahul Munjariya",2024,1
Shree Ram Bhakt Hanuman,"Hari Om Sharan, Nandini Sharan",1995,10
Hanuman Ji Mashup,"Nitin Sharma, Harendra Nagar",2025,1
Hanuman Chalisa,Aditya Gadhvi,2023,1
Hanuman Ji Ke 12 Naam,Prem Prakash Dubey,2023,1
Jai Hanuman,Hansraj Raghuwanshi,2022,1
Veer Hanumana,Rasraj Ji Maharaj,2023,1
