Artist Name,Genres,Followers,Popularity
Kabir Singh,"indian indie, hindi indie",4641,16
Shreya Ghoshal,"bollywood, hindi pop, desi, kannada pop, marathi pop, bangla pop",31383464,87
Kabir Sandhu,"punjabi pop, bhangra",70792,26
Vishal Mishra,"bollywood, hindi pop",8922993,79
Kabal Singh Sohi,,2000,27
A.R. Rahman,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi",66972967,84
Kabir Singhora,,2,3
Vishal-Shekhar,"bollywood, desi, hindi pop",14353037,82
Kabir Singh Raina,,16,0
Kavita Krishnamurthy,"bollywood, gujarati garba, hindi pop",3826425,72
Kabir Singh Knd,,1,0
Sid Sriram,"tollywood, telugu pop, tamil pop, kollywood",19186758,79
Kabir Singh Rathore,,35,0
Vishal Dadlani,"bollywood, desi, hindi pop",12020530,76
Kabir Singh,,0,0
Rahat Fateh Ali Khan,"sufi, qawwali, bollywood, hindi pop, desi, ghazal",27560574,77
Kabir Singhora,,12,1
Varun Jain,"hindi pop, desi pop, bollywood",674719,71
Kabir Singh,,1,0
Jaani,"punjabi pop, hindi pop, bhangra, desi, bollywood",1199204,76
Kabir Singh,comedy,10127,4
Shabbir Ahmed,"bhajan, gujarati garba, devotional, bollywood",32187,61
Kabir Partap Singh,,20,0
Kabir Cafe,"bhajan, sufi, indian indie, hindi indie, devotional",79753,46
Kabir Singhal,,0,0
Kabira,haryanvi pop,170997,50
Kabir Singh,,1,0
Tochi Raina,"bollywood, hindi pop, desi, sufi",386755,67
Sonu Singh Kabira,,0,0
Shaarib Toshi,"bollywood, hindi pop, desi",2220410,70
Kabiraj Singh,,0,0
Kabir,punjabi pop,6517,28
Kabir Duhan Singh,,92,0
Javed-Mohsin,"bollywood, hindi pop, desi pop",946483,67
Ravinder Singh Kabir,,0,0
VIBIE,lo-fi,79361,61
Bharat Singh Kabira,,0,0
Arko,"hindi pop, bollywood, bangla pop, desi pop",1157106,68
Sandip Barot Kabir Singhmanda Aanand Payal Makwana,,0,0
Juss,punjabi pop,698049,66
"Atul Kulkarni, Kabir Duhan Singh, Abhinav Gomatam, Archana, Pavani Gangireddy",,1,0
Ami Mishra,"bollywood, hindi pop",874687,64
Harshdeep Kaur,"bollywood, desi, hindi pop",6240818,68
Arjun Kanungo,hindi pop,3011684,59
Sagar,,21000,65
Mohammad Faiz,hindi pop,509832,62
Javed Akhtar,"bollywood, sufi, hindi pop, desi",454865,65
Vilen,"hindi indie, desi pop, hindi pop",1006868,62
AUR,"hindi indie, indian indie, hindi hip hop",1629040,61
Rito Riba,"indian indie, hindi indie, hindi pop",212760,61
